Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Li, W., Zhao, S.-C., Ji, X.-F., Ma, J.-W.",57195598654;7403578640;35248016900;57221081081;,Impact of Traffic Exposure and Land Use Patterns on the Risk of COVID-19 Spread at the Community Level [交通暴露与土地利用模式对社区COVID-19传播风险的影响],2020,Zhongguo Gonglu Xuebao/China Journal of Highway and Transport,33,11,,43,54,,,10.19721/j.cnki.1001-7372.2020.11.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098162856&doi=10.19721%2fj.cnki.1001-7372.2020.11.005&partnerID=40&md5=c036fef83d211bdae3a10b35eac36223,Article,Final,,Scopus,2-s2.0-85098162856
"Shao, M., Dong, Y., Lin, C.",57193272354;57213171068;57193281315;,Spatio-temporal evolution and driving factors of ecosystem services in Chengdu-Chongqing urban agglomeration of southwestern China based on GWR model [基于GWR模型的成渝城市群生态系统服务时空演变及驱动因素研究],2020,Beijing Linye Daxue Xuebao/Journal of Beijing Forestry University,42,11,,118,129,,2,10.12171/j.1000-1522.20200217,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097144113&doi=10.12171%2fj.1000-1522.20200217&partnerID=40&md5=5d8c71b534d79693c461b55553cfd3fa,Article,Final,,Scopus,2-s2.0-85097144113
"Xu, C., Zhang, Z., Liu, F.",57194511275;8886631900;57215557054;,Improving the low-temperature performance of ret modified asphalt mixture with different modifiers,2020,Coatings,10,11,1070,1,22,,,10.3390/coatings10111070,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096076960&doi=10.3390%2fcoatings10111070&partnerID=40&md5=dc27add3576c804d162e7dfc5e16928f,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85096076960
"Tabassum, R., Arsalan, M.H., Mumtaz, F., Imam, N.",57212208023;55922361900;57219850518;57219849632;,Sustainable urban water conservation strategy for a planned city of a developing country: a perspective from DHA City Karachi,2020,Arabian Journal of Geosciences,13,22,1203,,,,1,10.1007/s12517-020-06180-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095790488&doi=10.1007%2fs12517-020-06180-2&partnerID=40&md5=b3f402a43aab444208eb7c7faa51ca5d,Article,Final,,Scopus,2-s2.0-85095790488
"Sha, Z., Li, R.",7006705338;57094325400;,"Assessment of human-related driving forces for reduced carbon uptake using neighborhood analysis and geographically weighted regression: A case study in the grassland of inner mongolia, china",2020,Applied Sciences (Switzerland),10,21,7787,1,17,,,10.3390/app10217787,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095752456&doi=10.3390%2fapp10217787&partnerID=40&md5=8f212595d731a1bcffe18a3d5980ba03,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85095752456
"Sun, H., Wang, Q., Wang, G.X., Luo, P., Jiang, F.G.",55729314700;57221577171;57222210927;57207778992;57217145322;,Improvement of mapping vegetation cover for arid and semiarid areas using a local nonlinear modelling method and landsat images,2020,Rangeland Journal,42,3,,161,169,,,10.1071/RJ19081,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095437692&doi=10.1071%2fRJ19081&partnerID=40&md5=6277e7e72d9d84ff03d955eb419ac7ac,Article,Final,,Scopus,2-s2.0-85095437692
"Pandey, K., Kumar, S., Malik, A., Kuriqi, A.",57219363840;57194985394;56486779100;57039070300;,"Artificial neural network optimized with a genetic algorithm for seasonal groundwater table depth prediction in Uttar Pradesh, India",2020,Sustainability (Switzerland),12,21,8932,1,24,,6,10.3390/su12218932,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094620799&doi=10.3390%2fsu12218932&partnerID=40&md5=61ffb49a7292fcd61de6b7b92df36268,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85094620799
"Bai, X., Zhai, W., Steiner, R.L., He, Z.",57204923615;57204916742;7402618774;55973244700;,Exploring extreme commuting and its relationship to land use and socioeconomics in the central Puget Sound,2020,Transportation Research Part D: Transport and Environment,88,,102574,,,,2,10.1016/j.trd.2020.102574,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093693665&doi=10.1016%2fj.trd.2020.102574&partnerID=40&md5=1a73ae8e46d1f4754618d87cd4909c53,Article,Final,,Scopus,2-s2.0-85093693665
"Kuai, X., Wang, F.",57193693729;57203340330;,"Global and localized neighborhood effects on public transit ridership in Baton Rouge, Louisiana",2020,Applied Geography,124,,102338,,,,1,10.1016/j.apgeog.2020.102338,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091936439&doi=10.1016%2fj.apgeog.2020.102338&partnerID=40&md5=607df676fa6d866470578cf7107c4d82,Article,Final,,Scopus,2-s2.0-85091936439
"Wu, C., Peng, N., Ma, X., Li, S., Rao, J.",57221208633;57219230330;57201053993;57206186364;57214601755;,"Assessing multiscale visual appearance characteristics of neighbourhoods using geographically weighted principal component analysis in Shenzhen, China",2020,"Computers, Environment and Urban Systems",84,,101547,,,,6,10.1016/j.compenvurbsys.2020.101547,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091776939&doi=10.1016%2fj.compenvurbsys.2020.101547&partnerID=40&md5=7ff332b889c56edf87202164efe0ec3e,Article,Final,,Scopus,2-s2.0-85091776939
